tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.70E+17,negative,1,Flight Attendant Complaints,1,US Airways,,thomashoward88,,0,"@USAirways US 728 pilot started the flight by announcing arrival into Gatwick, not Heathrow. Moments of concern for all aboard.",,23-02-2015 11:37,,
5.70E+17,negative,1,Customer Service Issue,0.6772,US Airways,,thomashoward88,,0,@USAirways US 728 stated their issues as: no one around to close said door. More strange. Now we're not hearing from pilot for long periods.,,23-02-2015 11:36,,
5.70E+17,negative,1,Bad Flight,0.684,US Airways,,ac_choplick,,0,@USAirways Seat 8D on Flight 545 last night is the worst seat I've ever been in.  No leg room! #dividendsmember http://t.co/NUhpLNXRIq,,23-02-2015 11:35,,Hawaii
5.70E+17,negative,1,Flight Attendant Complaints,0.6723,US Airways,,Blasterjaxx,,1,@USAirways One of your workers was very rude with us. We can tell you in DM cuz it won't be any good publicity...,,23-02-2015 11:34,TotalWorldJaxxination,
5.70E+17,negative,0.652,Late Flight,0.342,US Airways,,thomashoward88,,0,"@USAirways US 728 stated their issues as: plane not moving as cargo door open on plane. Umm, ok. A little strange.",,23-02-2015 11:34,,
5.70E+17,negative,1,Late Flight,1,US Airways,,KingFilson,,0,@USAirways my flight is delayed so I missed my connecting flight. Stuck in Philadelphia over night and no hotel voucher? Thanks for nothing,,23-02-2015 11:34,,Central Time (US & Canada)
5.70E+17,neutral,0.6729,,0,US Airways,,thomashoward88,,0,@USAirways US 728 stated their issues as: kept plane on ground to allow connecting passengers from other flight to board. Fine. Understand.,,23-02-2015 11:33,,
5.70E+17,negative,1,Customer Service Issue,1,US Airways,,BriRose16,,0,"@USAirways can I speak to a human with some compassion? I wrote an email to discuss my experience and received a generic ""sorry"" email back",,23-02-2015 11:31,"Baltimore, MD ",
5.70E+17,negative,1,Bad Flight,0.3499,US Airways,,Bachelorsaurus,,0,"@USAirways take a look at 1715. All F seats filled, so someone upgraded their friend instead of following rules.",,23-02-2015 11:31,"Arlington, VA",Quito
5.70E+17,negative,1,Customer Service Issue,0.6532,US Airways,,FahadHassan,,0,@USAirways back in line at terminal because phone guy couldn't help.  One person in front of me 20 min wait again? http://t.co/HQHdAD7fvK,,23-02-2015 11:27,Washington D.C.,Eastern Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,US Airways,,MediatorTerry,,0,@USAirways So you understand why I'm resorting to Twitter: No help available at  gate while this occurred or by phone afterward.,,23-02-2015 11:25,,
